id,msg
uILhdYr_UDs,transcript file already exists
gfgJkBSFqQ4,transcript file already exists
7_AoUF4zfV4,transcript file already exists
RwA9kS1em-E,transcript file already exists
PYaixyrzDOk,transcript file already exists
UXzsRqisIko,transcript file already exists
zX8gfNQmVfQ,transcript file already exists
ZLde30A5xCE,transcript file already exists
4HasHl8N1hc,transcript file already exists
P3i19APsYNs,transcript file already exists
s4r-cyXrYb4,transcript file already exists
2E6cg8c0M38,transcript file already exists
rUESS_KGjj4,transcript file already exists
8beoStypxrM,transcript file already exists
OriS-jCPgGc,transcript file already exists
tUqXzYw4HGo,transcript file already exists
rCVAC8Iw3I8,transcript file already exists
A_xBQFiuXHk,transcript file already exists
z24irRRvCQc,could not click
6qwH4rnS3lM,transcript file already exists
N0tY-TaEEQI,could not click
Mqtfev7oLPw,transcript file already exists
t_f_QG8Rw6g,transcript file already exists
AzetPwGZpJM,transcript file already exists
mP78d2JeY1o,transcript file already exists
qo8dnwsCN1A,transcript file already exists
ivn4fOi4o7o,transcript file already exists
UFAI8lAYh5I,transcript file already exists
ZxmGPip7JOo,could not click
kgQtPKMa6cg,transcript file already exists
mi26aXyUbuQ,transcript file already exists
6AfKseHKmRc,transcript file already exists
VXW7dpuxYzU,transcript file already exists
IuFMesHkBdA,transcript file already exists
NlXPiHArsDE,transcript file already exists
bt_ZQpDFL2s,transcript file already exists
qQ53A6SN-ak,transcript file already exists
uMlRMAZ0lB0,transcript file already exists
Sbbwq857O5E,transcript file already exists
cwqjxqX42qA,transcript file already exists
fy6pqiEB4OM,transcript file already exists
FJ63cY-zLFI,transcript file already exists
_mEXEIwsNkU,transcript file already exists
sxaEH4mSuRA,transcript file already exists
E3821TXtUaE,transcript file already exists
8zUGEcgBDUA,transcript file already exists
-GiuPDA8EAg,transcript file already exists
tEpMSVerhME,transcript file already exists
vXU9i-vgH6Q,transcript file already exists
ZDKAo50yjyQ,transcript file already exists
wZify-FZZqM,transcript file already exists
7ZTsqm1ilp0,transcript file already exists
bciaxewgF9Y,transcript file already exists
mdYXocVY3DY,transcript file already exists
8_LXq-vn0_4,transcript file already exists
WH4zdjf9Pdw,transcript file already exists
jmRfHNeOoM8,transcript file already exists
fCi-M8ON9n0,transcript file already exists
qCQ5aGkvSIY,transcript file already exists
Xhja9WuxDow,transcript file already exists
mLZSk_gYCNo,transcript file already exists
2cmAaVZGHQA,transcript file already exists
Ohv-wFtSmd4,transcript file already exists
yvj1Mgajbng,transcript file already exists
XUgqt_Aeg9Q,transcript file already exists
NaujrrivX9A,transcript file already exists
CC2FESkbFUQ,transcript file already exists
iQQyFWtD0n8,transcript file already exists
I7vsODcj0JE,transcript file already exists
wKhu86LC0lc,transcript file already exists
BNJbPdujbSs,transcript file already exists
jSiWpRyHIbU,transcript file already exists
Q-UeDVuYf28,transcript file already exists
NKL5PRaJFKQ,transcript file already exists
iZhp1PKn4PE,transcript file already exists
9ZUQgMpFxIM,transcript file already exists
Hib3KCnmPWM,transcript file already exists
uvQyy8ycac4,transcript file already exists
gL0DXpYyOGM,transcript file already exists
ULKh2QCU3mQ,transcript file already exists
xkOtEad7c6U,transcript file already exists
6xF0mQbJpig,transcript file already exists
lhn8aIfC5RU,transcript file already exists
INHW_-HGCIs,transcript file already exists
r8U3bujUq4Y,transcript file already exists
Xw-eTq5cw3Y,transcript file already exists
Efmrx22gTIQ,transcript file already exists
E_203dUP32Y,transcript file already exists
bsZq4OpnKZw,transcript file already exists
fKnyYHGYf5A,transcript file already exists
